chunk,rows_processed,n_blacklisted,n_skipped,max_block,processed_after,ram_usage_gb
271000,2710000000,64768210,18119620,13604657,0 days 05:23:06.409369,24.26
272000,2720000000,65042828,18172400,13617959,0 days 05:24:31.482900,24.31
273000,2730000000,65305719,18233728,13631587,0 days 05:25:52.002673,24.37
274000,2740000000,65555456,18293892,13645152,0 days 05:27:14.880001,24.42
275000,2750000000,65796185,18347111,13658647,0 days 05:28:38.449036,24.47
276000,2760000000,66053189,18413334,13672737,0 days 05:30:00.618429,24.52
277000,2770000000,66327579,18478603,13686046,0 days 05:31:21.447555,24.57
278000,2780000000,66566691,18539212,13699386,0 days 05:32:43.376931,24.62
279000,2790000000,66817561,18601926,13713503,0 days 05:34:05.649249,24.67
280000,2800000000,67092423,18663619,13728046,0 days 05:35:29.591421,24.72
281000,2810000000,67337785,18721729,13741490,0 days 05:36:48.204180,24.78
282000,2820000000,67569665,18773555,13755322,0 days 05:38:11.687287,24.82
283000,2830000000,67863349,18823703,13769338,0 days 05:39:34.112586,24.88
284000,2840000000,68104576,18870203,13782953,0 days 05:40:56.144734,24.94
285000,2850000000,68360984,18915865,13797573,0 days 05:42:18.947994,24.99
286000,2860000000,68634827,18974458,13812036,0 days 05:43:41.087353,25.05
287000,2870000000,68859445,19026036,13824930,0 days 05:45:00.232438,25.09
288000,2880000000,69072276,19070966,13838694,0 days 05:46:22.970259,25.14
289000,2890000000,69302766,19117563,13852472,0 days 05:47:46.262091,25.18
290000,2900000000,69552962,19168530,13866497,0 days 05:49:10.038052,25.23
291000,2910000000,69743633,19208171,13879364,0 days 05:50:29.844102,25.27
292000,2920000000,69990253,19260697,13892814,0 days 05:51:54.111274,25.32
293000,2930000000,70221329,19317022,13906898,0 days 05:53:17.290585,25.37
294000,2940000000,70458073,19372010,13920655,0 days 05:54:40.991236,25.41
295000,2950000000,70684275,19435203,13934768,0 days 05:56:07.045764,25.46
296000,2960000000,70936470,19511846,13948790,0 days 05:57:33.422670,25.51
297000,2970000000,71159847,19585826,13962784,0 days 05:58:58.926021,25.55
298000,2980000000,71363731,19654113,13977679,0 days 06:00:27.754353,25.59
299000,2990000000,71564988,19726519,13991343,0 days 06:01:50.264104,25.63
300000,3000000000,71805729,19804445,14006157,0 days 06:03:19.674310,25.68
301000,3010000000,72015787,19869407,14020447,0 days 06:04:51.223112,25.72
302000,3020000000,72220718,19931079,14034456,0 days 06:06:18.416367,25.76
303000,3030000000,72428025,20009589,14047982,0 days 06:07:43.724753,25.8
304000,3040000000,72605312,20078178,14060718,0 days 06:09:05.964817,25.84
305000,3050000000,72789792,20145651,14074054,0 days 06:10:28.670248,25.88
306000,3060000000,72987784,20222804,14088114,0 days 06:11:54.841155,25.92
307000,3070000000,73184716,20299304,14103069,0 days 06:13:21.739294,25.96
308000,3080000000,73377747,20368490,14117473,0 days 06:14:52.241914,26.04
309000,3090000000,73576346,20446812,14132089,0 days 06:16:23.108581,26.03
310000,3100000000,73773127,20510528,14146257,0 days 06:17:51.488655,26.07
311000,3110000000,73974194,20567166,14160505,0 days 06:19:41.985022,34.18
312000,3120000000,74176617,20634290,14174430,0 days 06:21:08.835017,34.22
313000,3130000000,74368596,20688705,14188000,0 days 06:22:33.496022,34.26
314000,3140000000,74540852,20732082,14201715,0 days 06:24:00.784526,34.29
315000,3150000000,74727102,20781447,14215869,0 days 06:25:27.353731,34.33
316000,3160000000,74897071,20830100,14229547,0 days 06:26:51.318006,34.36
317000,3170000000,75059461,20874754,14243311,0 days 06:28:17.420591,34.4
318000,3180000000,75223411,20928352,14257290,0 days 06:29:44.506222,34.43
319000,3190000000,75396423,20990269,14270770,0 days 06:31:09.470848,34.47
320000,3200000000,75567684,21038666,14284734,0 days 06:32:38.138268,34.5
321000,3210000000,75736741,21084869,14298755,0 days 06:34:04.569018,34.54
322000,3220000000,75924797,21129038,14312410,0 days 06:35:31.293210,34.61
323000,3230000000,76085481,21172638,14325488,0 days 06:36:58.606872,34.61
324000,3240000000,76242809,21209212,14338644,0 days 06:38:23.527848,34.65
