chunk,rows_processed,n_blacklisted,max_block,processed_after,ram_usage_gb
189000,1890000000,55355790,12521974,0 days 02:28:57.083287,8.87
190000,1900000000,55587329,12533639,0 days 02:29:30.634060,8.89
191000,1910000000,55818441,12545662,0 days 02:30:04.827801,8.91
192000,1920000000,56057659,12558240,0 days 02:30:39.110474,8.94
193000,1930000000,56276767,12570327,0 days 02:31:13.509728,8.96
194000,1940000000,56468143,12583210,0 days 02:31:47.517269,8.98
195000,1950000000,56649510,12594972,0 days 02:32:20.684869,9.0
196000,1960000000,56823858,12607050,0 days 02:32:54.456271,9.01
197000,1970000000,56991234,12618727,0 days 02:33:26.820434,9.03
198000,1980000000,57154343,12631218,0 days 02:33:59.882915,9.05
199000,1990000000,57334275,12643199,0 days 02:34:33.324423,9.06
200000,2000000000,57527056,12655052,0 days 02:35:05.826322,9.09
201000,2010000000,57691330,12667355,0 days 02:35:38.366504,9.1
202000,2020000000,57840663,12679200,0 days 02:36:11.001760,9.13
203000,2030000000,57995382,12690261,0 days 02:36:44.437363,9.13
204000,2040000000,58172605,12702349,0 days 02:37:18.040114,9.15
205000,2050000000,58346104,12714458,0 days 02:37:50.842493,9.16
206000,2060000000,58559261,12726799,0 days 02:38:26.631839,9.19
207000,2070000000,58766026,12739142,0 days 02:39:00.995996,9.2
208000,2080000000,58937975,12751435,0 days 02:39:34.962950,9.22
209000,2090000000,59100535,12763581,0 days 02:40:09.909249,9.24
210000,2100000000,59279413,12775779,0 days 02:40:44.811729,9.26
211000,2110000000,59471323,12788125,0 days 02:41:18.404776,9.28
212000,2120000000,59631141,12800356,0 days 02:41:51.560115,9.29
213000,2130000000,59790075,12812694,0 days 02:42:24.412397,9.31
214000,2140000000,59951756,12824491,0 days 02:42:57.326745,9.32
215000,2150000000,60110010,12836451,0 days 02:43:30.739939,9.34
216000,2160000000,60262447,12849108,0 days 02:44:04.150427,9.35
217000,2170000000,60412090,12861384,0 days 02:44:37.459950,9.37
218000,2180000000,60563767,12873288,0 days 02:45:11.652696,9.38
219000,2190000000,60725456,12885395,0 days 02:45:44.854377,9.4
220000,2200000000,60877721,12897370,0 days 02:46:18.129210,9.41
221000,2210000000,61038518,12908820,0 days 02:46:52.145177,9.43
222000,2220000000,61227243,12921421,0 days 02:47:27.003400,9.45
223000,2230000000,61405214,12933463,0 days 02:48:00.996630,9.47
224000,2240000000,61568573,12945657,0 days 02:48:35.412078,9.48
225000,2250000000,61750318,12958417,0 days 02:49:11.849556,9.5
226000,2260000000,61927095,12971105,0 days 02:49:46.466429,9.52
227000,2270000000,62115511,12984269,0 days 02:50:21.605401,9.53
228000,2280000000,62301039,12997545,0 days 02:50:57.409286,9.55
229000,2290000000,62503186,13010850,0 days 02:51:33.443046,9.57
230000,2300000000,62701430,13024796,0 days 02:52:12.501138,9.59
231000,2310000000,62900191,13038763,0 days 02:52:52.635899,9.61
232000,2320000000,63091357,13051705,0 days 02:53:27.942007,9.63
233000,2330000000,63287164,13064313,0 days 02:54:03.234957,9.65
234000,2340000000,63466293,13077172,0 days 02:54:38.430566,9.67
235000,2350000000,63670473,13090670,0 days 02:55:15.138253,9.69
236000,2360000000,63868228,13104884,0 days 02:55:52.086815,9.71
237000,2370000000,64062324,13119791,0 days 02:56:30.483994,9.73
238000,2380000000,64276801,13134690,0 days 02:57:09.841070,9.75
239000,2390000000,64528420,13150179,0 days 02:57:48.629639,9.77
240000,2400000000,64776735,13167113,0 days 02:58:27.188963,9.8
