chunk,rows_processed,n_blacklisted,max_block,processed_after,ram_usage_gb
245000,2450000000,91011486,11242296,0 days 02:39:59.541651,15.06
246000,2460000000,91259741,11258079,0 days 02:40:32.418062,15.08
247000,2470000000,91476057,11273516,0 days 02:41:04.202933,15.1
248000,2480000000,91729786,11288247,0 days 02:41:36.651265,15.13
249000,2490000000,92009560,11302798,0 days 02:42:09.936841,15.16
250000,2500000000,92284812,11317164,0 days 02:42:43.871798,15.19
251000,2510000000,92577000,11332127,0 days 02:43:17.308636,15.22
252000,2520000000,92803166,11347796,0 days 02:43:49.813263,15.24
253000,2530000000,93025628,11363214,0 days 02:44:24.512137,15.26
254000,2540000000,93245797,11377856,0 days 02:44:56.737309,15.28
255000,2550000000,93462286,11392205,0 days 02:45:28.435597,15.3
256000,2560000000,93652441,11406619,0 days 02:46:00.697123,15.32
257000,2570000000,93856759,11420499,0 days 02:46:32.815759,15.34
258000,2580000000,94059979,11434623,0 days 02:47:04.377678,15.36
259000,2590000000,94435733,11449541,0 days 02:47:37.269462,15.4
260000,2600000000,94777307,11464365,0 days 02:48:12.870539,15.43
261000,2610000000,95100621,11478962,0 days 02:48:47.544582,15.46
262000,2620000000,95327111,11493365,0 days 02:49:20.219036,15.48
263000,2630000000,95529178,11507681,0 days 02:49:52.321147,15.5
264000,2640000000,95737051,11522301,0 days 02:50:24.654048,15.52
265000,2650000000,95948396,11536382,0 days 02:50:56.957029,15.54
266000,2660000000,96196525,11550809,0 days 02:51:30.515213,15.57
267000,2670000000,96444339,11565752,0 days 02:52:03.447306,15.59
268000,2680000000,96690841,11580441,0 days 02:52:37.584715,15.62
269000,2690000000,97027801,11595983,0 days 02:53:13.532113,15.65
270000,2700000000,97389168,11611400,0 days 02:53:49.415096,15.69
271000,2710000000,97734164,11627024,0 days 02:54:24.902763,15.72
272000,2720000000,98053039,11642471,0 days 02:54:59.619897,15.75
273000,2730000000,98356343,11657434,0 days 02:55:32.699299,15.78
274000,2740000000,98652438,11672335,0 days 02:56:07.055522,15.81
275000,2750000000,98948331,11686899,0 days 02:56:44.058459,15.84
276000,2760000000,99233428,11701774,0 days 02:57:18.162160,15.87
277000,2770000000,99491145,11716257,0 days 02:57:51.463722,15.89
278000,2780000000,99749337,11730132,0 days 02:58:25.052579,15.92
279000,2790000000,100014073,11744588,0 days 02:58:58.673069,15.94
280000,2800000000,100384355,11759144,0 days 02:59:33.492980,15.98
281000,2810000000,100720494,11773603,0 days 03:00:08.549434,16.01
282000,2820000000,101076774,11788430,0 days 03:00:46.863279,16.05
283000,2830000000,101431408,11803373,0 days 03:01:22.876772,16.08
284000,2840000000,101784803,11818353,0 days 03:01:58.621441,16.12
285000,2850000000,102169527,11833413,0 days 03:02:34.865662,16.16
286000,2860000000,102532443,11847879,0 days 03:03:10.959405,16.19
287000,2870000000,102841618,11862603,0 days 03:03:46.243267,16.22
288000,2880000000,103184310,11877462,0 days 03:04:23.743853,16.26
289000,2890000000,103565982,11892415,0 days 03:05:00.222804,16.29
290000,2900000000,103943462,11907915,0 days 03:05:36.382676,16.33
291000,2910000000,104294242,11923033,0 days 03:06:12.189126,16.36
292000,2920000000,104626424,11938494,0 days 03:06:47.978265,16.4
293000,2930000000,104933927,11953423,0 days 03:07:22.998023,16.43
294000,2940000000,105252460,11968397,0 days 03:07:58.724039,16.46
295000,2950000000,105565327,11983390,0 days 03:08:36.989555,16.49
296000,2960000000,105848542,11998296,0 days 03:09:12.727557,16.52
297000,2970000000,106177402,12013257,0 days 03:09:48.861338,16.55
298000,2980000000,106544776,12028776,0 days 03:10:26.468665,16.59
299000,2990000000,106901531,12044131,0 days 03:11:03.825326,16.63
300000,3000000000,107271172,12059722,0 days 03:11:40.864812,16.66
301000,3010000000,107640961,12075131,0 days 03:12:18.164675,16.69
302000,3020000000,107977411,12090456,0 days 03:12:57.395560,16.73
303000,3030000000,108319498,12105269,0 days 03:13:34.157234,16.76
304000,3040000000,108656386,12120690,0 days 03:14:11.277030,16.79
305000,3050000000,108973921,12135757,0 days 03:14:47.572758,16.82
306000,3060000000,109338041,12150783,0 days 03:15:24.891960,16.86
307000,3070000000,109731160,12165902,0 days 03:16:02.907135,16.9
308000,3080000000,110062410,12181220,0 days 03:16:40.668626,16.93
309000,3090000000,110410666,12196087,0 days 03:17:17.428949,16.97
310000,3100000000,110752815,12211204,0 days 03:17:54.067033,17.0
311000,3110000000,111124588,12226596,0 days 03:18:31.329019,17.03
312000,3120000000,111526863,12241704,0 days 03:19:08.486363,17.07
313000,3130000000,111932006,12256676,0 days 03:19:45.982510,17.12
314000,3140000000,112397059,12271151,0 days 03:20:24.811540,17.16
315000,3150000000,112983736,12285461,0 days 03:21:07.218364,17.22
316000,3160000000,113394335,12297746,0 days 03:21:44.060467,17.26
317000,3170000000,113741408,12310669,0 days 03:22:22.169201,17.29
318000,3180000000,114088499,12322966,0 days 03:22:58.157954,17.33
319000,3190000000,114454859,12335262,0 days 03:23:34.664656,17.36
320000,3200000000,114740777,12347523,0 days 03:24:10.541261,17.39
321000,3210000000,114977373,12359045,0 days 03:24:49.443206,17.42
322000,3220000000,115273979,12370709,0 days 03:25:26.103274,17.44
323000,3230000000,115605536,12383013,0 days 03:26:03.435942,17.47
324000,3240000000,115979563,12395068,0 days 03:26:41.184531,17.51
325000,3250000000,116429190,12406957,0 days 03:27:21.332944,17.55
326000,3260000000,116927294,12419487,0 days 03:28:02.775231,17.6
327000,3270000000,117297068,12431496,0 days 03:28:42.153830,17.64
328000,3280000000,117643968,12443906,0 days 03:29:20.187786,17.67
329000,3290000000,117930383,12455719,0 days 03:29:56.566982,17.7
330000,3300000000,118189549,12466724,0 days 03:30:31.470557,17.73
331000,3310000000,118417358,12478166,0 days 03:31:07.258822,17.77
332000,3320000000,118608359,12489609,0 days 03:31:41.886585,17.78
333000,3330000000,118776414,12500125,0 days 03:32:14.084367,17.8
334000,3340000000,118982107,12511999,0 days 03:32:49.511694,17.82
335000,3350000000,119186435,12523906,0 days 03:33:24.227274,17.85
336000,3360000000,119417883,12535607,0 days 03:33:59.893929,17.87
337000,3370000000,119651384,12547690,0 days 03:34:36.013918,17.89
338000,3380000000,119887827,12560220,0 days 03:35:11.118367,17.91
339000,3390000000,120093169,12572436,0 days 03:35:46.617846,17.94
340000,3400000000,120281194,12585141,0 days 03:36:22.094944,17.95
341000,3410000000,120460478,12596977,0 days 03:36:59.108823,17.96
342000,3420000000,120634263,12608973,0 days 03:37:33.216999,17.98
343000,3430000000,120798872,12620726,0 days 03:38:07.297156,18.0
