chunk,rows_processed,n_blacklisted,max_block,processed_after,ram_usage_gb
310000,3100000000,31962647,14146257,0 days 04:37:20.510076,7.69
311000,3110000000,32050487,14160505,0 days 04:38:14.301996,7.71
312000,3120000000,32135319,14174430,0 days 04:39:07.118758,7.72
313000,3130000000,32218244,14188000,0 days 04:40:00.135607,7.72
314000,3140000000,32296133,14201715,0 days 04:40:52.940499,7.73
315000,3150000000,32389215,14215869,0 days 04:41:45.317982,7.75
316000,3160000000,32469208,14229547,0 days 04:42:36.355176,7.76
317000,3170000000,32547728,14243311,0 days 04:43:26.737230,7.77
318000,3180000000,32622340,14257290,0 days 04:44:20.493461,7.78
319000,3190000000,32699844,14270770,0 days 04:45:11.606157,7.79
320000,3200000000,32775094,14284734,0 days 04:46:05.565005,7.8
321000,3210000000,32855671,14298755,0 days 04:46:57.868390,7.81
322000,3220000000,32952142,14312410,0 days 04:47:49.955623,7.82
323000,3230000000,33028090,14325488,0 days 04:48:44.147628,7.83
324000,3240000000,33101953,14338644,0 days 04:49:34.902443,7.84
325000,3250000000,33179674,14351967,0 days 04:50:25.520986,7.85
326000,3260000000,33252303,14365173,0 days 04:51:15.403942,7.86
327000,3270000000,33331814,14378616,0 days 04:52:09.678731,7.87
328000,3280000000,33412674,14392020,0 days 04:53:01.318855,7.88
329000,3290000000,33499629,14404914,0 days 04:53:51.674409,7.89
330000,3300000000,33560043,14417695,0 days 04:54:43.598549,7.9
331000,3310000000,33646740,14430580,0 days 04:55:33.733500,7.92
332000,3320000000,33709667,14443693,0 days 04:56:29.299255,7.96
333000,3330000000,33791993,14456961,0 days 04:57:20.275133,7.93
334000,3340000000,33864892,14470098,0 days 04:58:11.824485,7.94
335000,3350000000,33956070,14482447,0 days 04:59:00.813714,7.95
336000,3360000000,34046500,14495270,0 days 04:59:49.589043,7.97
337000,3370000000,34138099,14507992,0 days 05:00:40.633896,7.98
338000,3380000000,34214043,14519952,0 days 05:01:31.413367,7.99
339000,3390000000,34294034,14532095,0 days 05:02:22.023216,8.0
340000,3400000000,34374460,14545230,0 days 05:03:12.374634,8.01
341000,3410000000,34447818,14558074,0 days 05:04:03.709983,8.02
342000,3420000000,34527734,14570764,0 days 05:04:55.263946,8.03
343000,3430000000,34603863,14583617,0 days 05:05:44.009166,8.04
344000,3440000000,34679314,14597069,0 days 05:06:37.203971,8.05
345000,3450000000,34752482,14609577,0 days 05:07:27.391241,8.06
346000,3460000000,34839512,14623049,0 days 05:08:20.295095,8.07
347000,3470000000,34934066,14636701,0 days 05:09:14.270237,8.08
348000,3480000000,35021280,14649797,0 days 05:10:06.293022,8.09
349000,3490000000,35123018,14662957,0 days 05:10:57.065914,8.11
350000,3500000000,35220820,14675713,0 days 05:11:47.534189,8.12
351000,3510000000,35300930,14687925,0 days 05:12:45.864254,8.13
352000,3520000000,35384038,14701281,0 days 05:13:35.098213,8.14
353000,3530000000,35473481,14713996,0 days 05:14:24.485086,8.16
354000,3540000000,35571543,14727073,0 days 05:15:14.885191,8.17
355000,3550000000,35658003,14739626,0 days 05:16:03.936064,8.18
356000,3560000000,35759580,14751656,0 days 05:16:52.953499,8.19
357000,3570000000,35816341,14762865,0 days 05:17:36.391528,8.2
358000,3580000000,35866207,14774806,0 days 05:18:25.270231,8.21
359000,3590000000,35938120,14786683,0 days 05:19:14.503624,8.21
360000,3600000000,36025207,14800324,0 days 05:20:04.763750,8.22
